0  1651048
1  1650800
2  1651320
3  1658232
4  1658432
5  1657868
6  1657092
7  1663984
8  1678740
9  1680564
10  1680444
11  1681040
12  1671608
13  1671452
14  1671344
15  1671956
16  1671492
17  1671964
18  1671732
19  1671708
20  1671320
21  1671552
22  1671616
23  1671932
24  1672088
25  1671800
26  1671088
27  1671088
28  1671344
29  1670980
30  1671360
31  1671320
32  1671336
33  1671716
34  1671312
35  1671336
36  1670840
37  1671228
38  1671088
39  1671064
40  1670824
41  1671412
42  1671204
43  1671512
44  1671204
45  1671460
46  1671088
47  1671104
48  1671452
49  1671196
