0  1672536
1  1672272
2  1676296
3  1676172
4  1676180
5  1676528
6  1676164
7  1672700
8  1672848
9  1672420
10  1672916
11  1672628
12  1672832
13  1672868
14  1672596
15  1672620
16  1673100
17  1672860
18  1673356
19  1672504
20  1672684
21  1672876
22  1673504
23  1673008
24  1672768
25  1672752
26  1673132
27  1672628
28  1672992
29  1672604
30  1673256
31  1672380
32  1672636
33  1673240
34  1673100
35  1672736
36  1673364
37  1673380
38  1673644
39  1673636
40  1674000
41  1673512
42  1674124
43  1673636
44  1673668
45  1673352
46  1678628
47  1674864
48  1676468
49  1676860
