0  1763116
1  1763824
2  1763940
3  1761592
4  1761732
5  1761316
6  1761184
7  1760088
8  1760080
9  1761376
10  1761568
11  1759672
12  1760276
13  1760044
14  1759756
15  1759616
16  1759748
17  1759584
18  1759516
19  1759632
20  1759872
21  1760004
22  1759880
23  1759592
24  1759476
25  1759452
26  1759732
27  1759468
28  1759576
29  1759848
30  1759484
31  1759476
32  1759724
33  1759608
34  1759468
35  1759684
36  1759404
37  1759420
38  1759744
39  1759256
40  1759736
41  1759744
42  1759604
43  1759744
44  1759124
45  1759264
46  1759744
47  1759620
48  1759496
49  1759652
