0  1670700
1  1670724
2  1675532
3  1675312
4  1675064
5  1675444
6  1671600
7  1671188
8  1671344
9  1671800
10  1671296
11  1671304
12  1671552
13  1671188
14  1671444
15  1671932
16  1671684
17  1671800
18  1676792
19  1676644
20  1678884
21  1678664
22  1674052
23  1674296
24  1675808
25  1675908
26  1676056
27  1675600
28  1675312
29  1674884
30  1674544
31  1674792
32  1674808
33  1674948
34  1674916
35  1675344
36  1675040
37  1675352
38  1675304
39  1675196
40  1674816
41  1675196
42  1674552
43  1674692
44  1674932
45  1674748
46  1674932
47  1674600
48  1674900
49  1675008
