0  1757072
1  1760220
2  1760652
3  1761008
4  1757644
5  1757388
6  1757396
7  1757504
8  1757132
9  1757148
10  1757272
11  1757388
12  1757868
13  1757860
14  1757372
15  1757620
16  1757388
17  1757604
18  1757140
19  1757744
20  1757008
21  1757264
22  1757264
23  1757380
24  1757132
25  1757008
26  1757016
27  1757124
28  1757264
29  1757008
30  1757148
31  1757636
32  1757496
33  1757380
34  1757628
35  1757256
36  1757116
37  1757388
38  1757404
39  1757124
40  1757248
41  1757264
42  1757148
43  1757504
44  1757256
45  1757140
46  1756744
47  1757256
48  1757264
49  1757628
