0  1757660
1  1760628
2  1760612
3  1761264
4  1757644
5  1757264
6  1757000
7  1757264
8  1757984
9  1757008
10  1756868
11  1757272
12  1761704
13  1761944
14  1760624
15  1760648
16  1763004
17  1763804
18  1762216
19  1763048
20  1764584
21  1764372
22  1762868
23  1762992
24  1763496
25  1763304
26  1764696
27  1764800
28  1764216
29  1764472
30  1763976
31  1764224
32  1763720
33  1764084
34  1763960
35  1764052
36  1764308
37  1764680
38  1764308
39  1764440
40  1764068
41  1764028
42  1764648
43  1764540
44  1764152
45  1763980
46  1764128
47  1764516
48  1764368
49  1764864
