0  1652660
1  1653040
2  1650908
3  1652248
4  1652024
5  1655876
6  1655728
7  1657836
8  1653256
9  1653720
10  1650016
11  1650116
12  1649620
13  1649132
14  1649760
15  1649488
16  1649744
17  1649744
18  1649380
19  1649488
20  1649264
21  1649868
22  1649496
23  1649364
24  1648760
25  1648496
26  1649000
27  1649116
28  1648992
29  1649356
30  1648620
31  1649092
32  1649124
33  1648488
34  1648620
35  1649116
36  1648736
37  1649348
38  1649000
39  1649148
40  1648876
41  1649000
42  1649116
43  1648620
44  1648588
45  1648628
46  1657044
47  1658440
48  1650076
49  1650716
