0  1699988
1  1703060
2  1703164
3  1697320
4  1696724
5  1697212
6  1697016
7  1697000
8  1696992
9  1697000
10  1696832
11  1697280
12  1697520
13  1697172
14  1697196
15  1696940
16  1697180
17  1697568
18  1697452
19  1697552
20  1697320
21  1697064
22  1697336
23  1697700
24  1697568
25  1697328
26  1697312
27  1697312
28  1697700
29  1697816
30  1697708
31  1697816
32  1697824
33  1697816
34  1697956
35  1697816
36  1698088
37  1697632
38  1698220
39  1698144
40  1698668
41  1699368
42  1698596
43  1701344
44  1701276
45  1701384
46  1699872
47  1699856
48  1700144
49  1701988
